loan_id,borrower_id,borrower_name,co_borrower_name,loan_type,loan_purpose,property_state,property_zip,servicer_name,original_principal,current_balance,interest_rate,monthly_payment,origination_date,maturity_date,last_payment_date,next_payment_date,payment_status,days_past_due,document_status,lien_position
L000001,B4335,Jennifer Martinez,,USDA,CONSTRUCTION,SD,22217,Quicken Loans,330028.00,125056.50,5.795,1753.14,2016-06-17,2046-06-17,2024-10-22,2026-07-02,DELINQUENT,45,COMPLETE,FIRST
L000002,B2924,Joseph Lee,Michael White,USDA,REFINANCE,NM,19150,US Bank,729172.00,415678.15,7.493,5008.38,2021-03-06,2041-03-06,2026-12-19,2027-01-18,N/A,45,MISSING,SECOND
L000003,B9318,Joseph Lee,,VA,HOME_EQUITY,NY,81228,Caliber Home Loans,330150.00,313406.94,7.423,2246.48,2016-05-06,2036-05-06,2025-03-14,2025-11-25,CURRENT,0,INCOMPLETE,SECOND
L000004,B4090,Richard Jones,,CONVENTIONAL,REFINANCE,WV,75836,SunTrust Mortgage,781380.00,256582.33,3.933,2817.07,2018-08-04,2033-08-04,2025-10-27,2028-05-09,DEFAULT,285,COMPLETE,SECOND
L000005,B8213,David Anderson,,JUMBO,PURCHASE,GA,53065,Green Tree Servicing,-154555.00,133861.08,5.656,801.32,2020-04-01,2030-04-01,2028-06-07,2028-07-07,CURRENT,0,COMPLETE,SECOND
L000006,B6188,John Hernandez,,FIXED,PURCHASE,ME,68153,Bank of America,707246.00,502324.77,6.812,4416.28,2020-12-11,2030-12-11,2027-12-14,2028-01-13,PENDING,0,MISSING,SECOND
L000007,B1753,Jennifer Garcia,Lisa Thomas,USDA,REFINANCE,NE,75230,SunTrust Mortgage,390131.00,178964.14,7.277,2602.40,2016-07-31,2016-03-05,2020-11-12,2020-12-12,CURRENT,0,COMPLETE,FIRST
L000008,B8555,John Moore,,USDA,CASH_OUT_REFINANCE,UT,93746,Caliber Home Loans,718891.00,-0.00,4.024,2651.75,2015-09-23,2025-09-23,2025-11-20,2025-12-20,PAID_OFF,0,COMPLETE,SECOND
L000009,B8484,Barbara Smith,,ARM,CONSTRUCTION,OR,45976,Wells Fargo Home Mortgage,366797.00,246395.79,3.695,1242.37,,2048-08-18,2019-11-27,2019-12-27,CURRENT,0,COMPLETE,FIRST
L000010,B9138,Robert Brown,,ARM,PURCHASE,UT,50492,Citimortgage,350096.00,246320.28,7.154,2295.87,2015-03-01,2035-03-01,2026-01-03,2017-10-13,DELINQUENT,79,INCOMPLETE,SECOND
L000011,B6977,Susan Martin,,VA,REFINANCE,DC,43681,Green Tree Servicing,187795.00,278936.20,3.041,523.49,2016-08-14,2036-08-14,2025-01-30,2025-03-01,CURRENT,0,COMPLETE,SECOND
L000012,B5835,Karen Taylor,Richard Smith,VA,HOME_EQUITY,UT,26199,Freedom Mortgage,,180968.11,7.325,2720.53,2020-07-03,2030-07-03,2022-03-01,2022-03-31,DEFAULT,293,COMPLETE,SECOND
L000013,B5295,Lisa Davis,,ARM,CONSTRUCTION,OK,49608,Flagstar Bank,662955.00,209670.14,4.786,2908.49,2018-05-02,2028-05-02,2025-10-10,2026-01-24,CURRENT,0,COMPLETE,SECOND
L000014,B3290,Susan Lee,,ARM,REFINANCE,FL,64379,Flagstar Bank,97549.00,139023.12,8.178,731.28,2016-10-29,2046-10-29,2018-03-18,2018-04-17,CURRENT,0,COMPLETE,FIRST
L000015,B7686,Susan Lee,,ARM,CASH_OUT_REFINANCE,MS,17936,Caliber Home Loans,343328.00,155690.05,2.696,848.48,,2033-04-24,2023-05-14,2023-06-13,CURRENT,0,COMPLETE,SECOND
L000016,B4109,William Davis,,FIXED,HOME_EQUITY,AK,36896,JPMorgan Chase Bank,178093.00,127455.89,0.0569,1337.69,2020-03-14,2030-03-14,2027-09-18,2027-10-18,CURRENT,0,COMPLETE,FIRST
L000017,B4817,Jennifer Brown,,CONVENTIONAL,REFINANCE,99,11947,PNC Bank,394519.00,0.00,7.146,2584.30,2010-01-24,2030-01-24,2019-10-10,2019-11-09,CLOSED,0,COMPLETE,FIRST
L001994,B6304,Susan Martin,,JUMBO,HOME_EQUITY,CA,39038,SunTrust Mortgage,66547.00,24880.06,3.545,216.25,2011-03-06,2026-03-06,2019-07-30,2019-08-29,CURRENT,0,COMPLETE,FIRST
L000019,B9543,Joseph Williams,,VA,HOME_EQUITY,CT,29442,JPMorgan Chase Bank,366282.00,0.00,5.248,1762.06,2010-09-13,2020-09-13,2016-02-25,2016-03-26,CURRENT,18,COMPLETE,FIRST
L000020,B9984,Karen Miller,,FHA,CONSTRUCTION,DC,54424,Green Tree Servicing,796746.00,461817.53,4.451,3250.79,2021-11-25,2041-11-25,2024-12-25,2027-02-25,CURRENT,0,COMPLETE,SECOND
L000021,B7815,John Williams,,ARM,CASH_OUT_REFINANCE,NM,27054,Nationstar Mortgage,149704.00,0.00,4.375,600.38,2027-07-21,2037-01-04,2021-04-16,2021-05-16,CLOSED,0,COMPLETE,FIRST
L000022,B6400,Susan Brown,,FHA,REFINANCE,ME,96079,Freedom Mortgage,752559.00,0.00,0.0778,2230.27,2017-12-06,2047-12-06,2027-09-30,2027-10-30,PAID_OFF,0,COMPLETE,FIRST
L000023,B6736,Lisa Lee,David Smith,FHA,CASH_OUT_REFINANCE,WY,50499,PNC Bank,633286.00,420899.42,4.705,2731.31,2016-04-01,2031-04-01,2025-05-20,2025-06-19,CURRENT,0,,SECOND
