loan_id,borrower_id,borrower_name,co_borrower_name,loan_type,loan_purpose,property_state,property_zip,servicer_name,original_principal,current_balance,interest_rate,monthly_payment,origination_date,maturity_date,last_payment_date,next_payment_date,payment_status,days_past_due,document_status,lien_position
L009919,B3741,Jessica Lee,Patricia Thomas,FIXED,PURCHASE,KY,77983,Bank of America,104711.00,45278.55,5.084,487.99,2014-04-27,2024-04-27,2018-07-17,2018-08-16,DELINQUENT,41,COMPLETE,SECOND
L007692,B1116,Richard Moore,,FIXED,CONSTRUCTION,LA,91911,PNC Bank,643349.00,281540.98,4.865,2869.07,2011-10-15,2041-10-15,2017-09-25,2017-10-25,CURRENT,0,COMPLETE,FIRST
L006723,B7406,Jessica Jackson,,FHA,HOME_EQUITY,WI,35639,SunTrust Mortgage,147206.00,59987.96,4.306,581.05,2018-11-01,2048-11-01,2028-02-20,2028-03-21,DELINQUENT,41,INCOMPLETE,FIRST
L000589,B2788,Jessica Martinez,William White,FIXED,CASH_OUT_REFINANCE,UT,53907,Caliber Home Loans,131242.00,85848.10,5.542,666.73,2012-07-16,2022-07-16,2015-04-12,2015-05-12,CURRENT,0,,SECOND
L005218,B2889,Thomas Wilson,,VA,HOME_EQUITY,NC,95913,Wells Fargo Home Mortgage,524966.00,159659.94,4.828,2323.32,2010-03-10,2025-03-10,2017-01-16,2017-02-15,CURRENT,0,COMPLETE,SECOND
L009425,B8542,Mary Thomas,Jessica Garcia,JUMBO,PURCHASE,OK,26085,Bank of America,479994.00,349266.50,8.125,3574.96,2013-08-26,2043-08-26,2023-08-14,2023-09-13,DEFAULT,101,COMPLETE,SECOND
L001826,B5389,Lisa Smith,,USDA,CONSTRUCTION,PA,61947,PHH Mortgage,641690.00,466206.81,3.783,2225.22,2011-06-20,2041-06-20,2019-01-13,2019-02-12,CURRENT,0,COMPLETE,FIRST
L007261,B8142,Joseph Martinez,James Garcia,CONVENTIONAL,HOME_EQUITY,UT,44865,Bank of America,388860.00,263366.51,5.923,2111.28,2015-04-15,2025-04-15,2025-03-08,2025-04-07,CURRENT,0,COMPLETE,SECOND
L003317,B1660,Joseph Thomas,,USDA,CONSTRUCTION,MT,43606,US Bank,283391.00,128931.67,5.757,1495.53,2018-09-10,2028-09-10,2029-01-05,2029-02-04,CURRENT,0,COMPLETE,SECOND
L003006,B8544,Susan Smith,,FIXED,CASH_OUT_REFINANCE,KS,58479,PHH Mortgage,438646.00,194694.83,2.614,1051.07,2011-09-15,2026-09-15,2013-08-15,2013-09-14,CURRENT,0,COMPLETE,SECOND
L005490,B9913,Michael Miller,,CONVENTIONAL,PURCHASE,OK,34448,Caliber Home Loans,113953.00,0.00,4.989,521.14,2013-11-23,2023-11-23,2017-06-16,2017-07-16,PAID_OFF,0,COMPLETE,FIRST
L004808,B3460,Robert Garcia,,CONVENTIONAL,CONSTRUCTION,CT,69386,SunTrust Mortgage,255439.00,172421.16,4.115,963.54,2021-10-19,2041-10-19,2031-09-15,2031-10-15,CURRENT,0,COMPLETE,FIRST
L003892,B9609,Jennifer Smith,,CONVENTIONAL,PURCHASE,NH,38227,PNC Bank,303483.00,111257.84,7.316,2035.26,2011-01-27,2026-01-27,2019-12-26,2020-01-25,DEFAULT,180,COMPLETE,FIRST
L002618,B8663,Thomas Moore,,CONVENTIONAL,HOME_EQUITY,NC,82373,Green Tree Servicing,53716.00,0.00,7.876,387.81,2013-07-06,2043-07-06,2014-09-16,2014-10-16,PAID_OFF,0,COMPLETE,FIRST
L000532,B3138,Richard Wilson,,VA,PURCHASE,IL,28844,Flagstar Bank,525745.00,212619.91,6.307,3039.55,2018-01-12,2033-01-12,2024-06-23,2020-11-18,DELINQUENT,45,COMPLETE,FIRST
L005804,B1995,Jennifer Williams,Patricia Miller,JUMBO,PURCHASE,MN,61822,US Bank,480968.00,247950.87,5.342,2355.22,2015-05-17,2030-05-17,2015-07-10,2015-08-09,CURRENT,0,COMPLETE,FIRST
L009658,B9109,Barbara Wilson,,CONVENTIONAL,PURCHASE,VT,76352,Freedom Mortgage,718018.00,397892.54,8.115,5341.16,2015-02-16,2030-02-16,2022-11-19,2022-12-19,CURRENT,0,COMPLETE,FIRST
L001037,B8955,David Jackson,,ARM,REFINANCE,AL,12893,JPMorgan Chase Bank,273768.00,93820.52,7.011,1759.44,2017-08-08,2027-08-08,2025-05-05,2025-06-04,CURRENT,0,INCOMPLETE,FIRST
L005797,B1463,Patricia Thompson,,JUMBO,PURCHASE,HI,16062,PNC Bank,444247.00,351144.27,3.239,1319.01,2012-01-07,2027-01-07,2016-09-13,2016-10-13,CURRENT,0,COMPLETE,SECOND
L006692,B4462,Patricia Lee,,FHA,CASH_OUT_REFINANCE,NV,18558,Flagstar Bank,687156.00,208515.59,5.726,3606.77,2020-08-05,2035-08-05,2025-07-28,2025-08-27,CURRENT,0,COMPLETE,FIRST
L007697,B7289,Linda Davis,,ARM,CASH_OUT_REFINANCE,MO,12633,Freedom Mortgage,71819.00,35935.65,3.523,231.93,2018-01-22,2038-01-22,2022-12-24,2023-01-23,CURRENT,0,COMPLETE,SECOND
L000570,B2107,Linda Davis,Jennifer Thomas,FIXED,CONSTRUCTION,UT,18437,Wells Fargo Home Mortgage,-97111.00,55883.60,2.677,238.30,2013-07-27,2028-07-27,2014-09-25,2014-10-25,DELINQUENT,78,COMPLETE,SECOND
L000023,B6736,Lisa Lee,David Smith,FHA,CASH_OUT_REFINANCE,WY,50499,PNC Bank,633286.00,391562.03,4.705,2731.31,2016-04-01,2031-04-01,2025-05-20,2025-06-19,CURRENT,0,,SECOND
L008142,B9829,Thomas Smith,,ARM,HOME_EQUITY,AZ,78414,Green Tree Servicing,501117.00,149605.89,6.926,3181.51,2011-06-22,2026-06-22,2018-04-26,2018-05-26,CURRENT,0,COMPLETE,SECOND
L009022,B3492,Joseph Wilson,,ARM,CASH_OUT_REFINANCE,VA,18348,Caliber Home Loans,761964.00,524147.48,2.764,1930.56,2014-05-22,2034-05-22,2015-08-07,2015-09-06,CURRENT,0,COMPLETE,SECOND
L006204,B9644,Lisa Taylor,,FHA,PURCHASE,RI,16373,Caliber Home Loans,371307.00,220162.04,2.689,915.24,2022-06-25,2052-06-25,2027-05-15,2027-06-14,DELINQUENT,51,COMPLETE,SECOND
L002761,B5789,Patricia Williams,,VA,HOME_EQUITY,ME,34338,Green Tree Servicing,123591.00,46248.36,3.836,434.59,2019-11-26,2034-11-26,2022-10-19,2022-11-18,CURRENT,0,COMPLETE,FIRST
L002032,B6317,Barbara White,,JUMBO,REFINANCE,MD,42519,Caliber Home Loans,407223.00,317422.12,6.597,2462.58,2017-08-01,2027-08-01,2024-04-03,2024-05-03,CURRENT,0,COMPLETE,SECOND
L001381,B8957,John Jackson,Robert Brown,USDA,CASH_OUT_REFINANCE,CT,12126,Bank of America,670419.00,500727.75,3.098,1903.88,2022-03-11,2052-03-11,2022-12-06,2023-01-05,CURRENT,0,INCOMPLETE,SECOND
L006604,B1201,Jennifer Garcia,Jessica White,JUMBO,HOME_EQUITY,DC,73537,Citimortgage,480382.00,0.00,6.414,2824.41,2012-02-27,2032-02-27,2015-06-11,2015-07-11,CLOSED,0,COMPLETE,SECOND
L002157,B1210,Charles Anderson,,JUMBO,REFINANCE,UT,96680,JPMorgan Chase Bank,304630.00,0.00,7.509,2096.84,2022-02-11,2032-02-11,2029-11-23,2029-12-23,PAID_OFF,0,COMPLETE,SECOND
L002721,B2363,Karen Garcia,,FIXED,CONSTRUCTION,NJ,60507,JPMorgan Chase Bank,778357.00,678685.70,7.667,5470.36,2014-11-29,2029-11-29,2023-04-26,2023-05-26,DEFAULT,118,COMPLETE,SECOND
L001593,B7114,Barbara Lee,,USDA,CONSTRUCTION,NY,83520,Wells Fargo Home Mortgage,52709.00,44593.15,5.399,260.86,2020-10-29,2030-10-29,2028-01-18,2028-02-17,CURRENT,0,COMPLETE,SECOND
L001966,B5246,Mary Moore,,FIXED,CASH_OUT_REFINANCE,OR,24202,Caliber Home Loans,545226.00,218892.98,6.611,3304.11,2011-02-19,2041-02-19,2011-10-14,2011-11-13,DEFAULT,129,COMPLETE,FIRST
L000989,B8570,Sarah Anderson,,FIXED,HOME_EQUITY,NC,19442,Caliber Home Loans,685405.00,304088.99,6.724,4224.61,2022-11-02,2052-11-02,2026-12-31,2027-01-30,CURRENT,0,INCOMPLETE,SECOND
L005642,B8200,Charles Moore,Thomas Williams,VA,REFINANCE,MO,51522,Flagstar Bank,621759.00,383881.70,7.625,4345.84,2015-07-09,2025-07-09,2020-09-15,2020-10-15,CURRENT,0,COMPLETE,SECOND
L001252,B9036,Joseph Smith,,FIXED,CASH_OUT_REFINANCE,IA,90051,US Bank,175827.00,0.00,5.871,946.26,2019-05-23,2039-05-23,2030-04-20,2030-05-20,PAID_OFF,0,COMPLETE,FIRST
L005348,B1262,Michael Hernandez,William Thomas,FHA,HOME_EQUITY,WA,55294,Bank of America,762121.00,0.00,7.18,5016.03,2012-12-09,2042-12-09,2020-05-21,2020-06-20,CLOSED,0,COMPLETE,FIRST
L001119,B7445,Mary Thomas,Robert Brown,VA,CASH_OUT_REFINANCE,MS,90121,SunTrust Mortgage,557456.00,0.00,4.146,2118.61,2017-09-10,2047-09-10,2024-01-15,2024-02-14,PAID_OFF,0,COMPLETE,SECOND
L008591,B6361,Lisa Williams,,VA,CONSTRUCTION,AZ,22829,SunTrust Mortgage,621007.00,426970.41,8.135,4630.90,2018-12-16,2038-12-16,2029-05-11,2029-06-10,CURRENT,0,MISSING,SECOND
L007500,B8275,Joseph Wilson,,FHA,REFINANCE,IA,71697,PNC Bank,175860.00,65613.87,2.639,425.42,2011-02-01,2031-02-01,2014-08-05,2014-09-04,DELINQUENT,43,COMPLETE,FIRST
L003227,B5106,Joseph Jackson,,CONVENTIONAL,REFINANCE,OK,73067,Citimortgage,271958.00,0.00,3.513,875.77,2010-10-06,2025-10-06,2012-11-03,2012-12-03,PAID_OFF,0,COMPLETE,FIRST
L002709,B9580,James Smith,Charles Williams,FIXED,PURCHASE,MD,96231,Citimortgage,59718.00,33149.39,4.732,259.04,2016-09-01,2031-09-01,2017-12-04,2018-01-03,CURRENT,0,COMPLETE,FIRST
L005020,B2214,Thomas Johnson,,ARM,REFINANCE,CT,79171,Flagstar Bank,602968.00,509547.71,4.827,2667.98,2016-01-03,2031-01-03,2022-01-18,2022-02-17,CURRENT,0,COMPLETE,SECOND
L003596,B1494,Charles Anderson,Michael Hernandez,USDA,REFINANCE,LA,59913,Nationstar Mortgage,241110.00,77935.34,5.247,1159.68,2018-02-19,2038-02-19,2025-05-01,2025-05-31,CURRENT,0,COMPLETE,FIRST
L008488,B8027,Jessica Smith,,CONVENTIONAL,REFINANCE,WI,46996,Flagstar Bank,773875.00,512209.47,6.461,4583.34,2015-09-28,2030-09-28,2025-06-05,2025-07-05,CURRENT,0,COMPLETE,SECOND
L002698,B7056,David Hernandez,,ARM,HOME_EQUITY,VT,34795,Quicken Loans,456711.00,365664.65,5.157,2158.99,2010-08-04,2025-08-04,2017-02-14,2017-03-16,DELINQUENT,32,COMPLETE,SECOND
L001423,B4284,Barbara Martin,,FHA,CONSTRUCTION,WA,43177,Citimortgage,54555.00,0.00,3.177,158.88,2013-02-07,2028-02-07,2013-06-27,2013-07-27,PAID_OFF,0,COMPLETE,FIRST
L002403,B9044,William Smith,,ARM,CONSTRUCTION,UT,32754,PNC Bank,161328.00,65374.53,5.02,742.38,2016-06-16,2026-06-16,2023-02-11,2023-03-13,CURRENT,0,COMPLETE,FIRST
L005381,B6214,Jennifer Miller,Linda Wilson,CONVENTIONAL,HOME_EQUITY,MS,22876,Flagstar Bank,633782.00,302002.99,4.752,2760.75,2016-10-29,2036-10-29,2020-06-15,2020-07-15,CURRENT,0,COMPLETE,SECOND
L004350,B6325,Richard Lee,,FHA,REFINANCE,WV,70000,PNC Bank,689434.00,341820.03,4.0,2527.92,2022-10-08,2052-10-08,2030-07-11,2030-08-10,CURRENT,0,COMPLETE,FIRST
L000917,B6914,Jessica Hernandez,William Thompson,USDA,CONSTRUCTION,MI,68953,Nationstar Mortgage,186079.00,63440.76,3.91,666.94,2021-07-14,2041-07-14,2026-02-15,2026-03-17,CURRENT,0,COMPLETE,SECOND
L001162,B5429,Patricia Anderson,,USDA,HOME_EQUITY,CT,21916,Bank of America,411702.00,147066.69,7.463,2816.49,2018-01-20,2038-01-20,2019-05-23,2019-06-22,CURRENT,0,COMPLETE,SECOND
L008638,B2812,Charles Moore,,VA,PURCHASE,SD,49076,Caliber Home Loans,568764.00,448523.54,5.224,2723.62,2022-09-22,2052-09-22,2031-02-07,2031-03-09,CURRENT,0,COMPLETE,SECOND
L009577,B4406,Mary Taylor,,FIXED,CONSTRUCTION,TX,45039,Citimortgage,251844.00,171938.09,7.961,1837.85,2015-11-14,2045-11-14,2018-04-15,2018-05-15,CURRENT,0,COMPLETE,FIRST
L003724,B6046,Sarah Thomas,Barbara Williams,FHA,REFINANCE,LA,13056,SunTrust Mortgage,437910.00,265528.17,3.327,1335.52,2020-09-27,2035-09-27,2031-09-06,2031-10-06,DEFAULT,188,COMPLETE,SECOND
L001668,B3715,Thomas Thomas,,VA,HOME_EQUITY,NH,59620,Citimortgage,387766.00,125371.40,3.855,1370.27,2010-11-03,2040-11-03,2021-05-12,2021-06-11,CURRENT,0,COMPLETE,SECOND
L007898,B8501,Robert Jackson,Robert Martinez,FIXED,PURCHASE,NJ,34110,PNC Bank,393128.00,217654.74,7.756,2795.01,2010-04-17,2020-04-17,2014-07-18,2014-08-17,CURRENT,0,INCOMPLETE,FIRST
L001812,B1642,Sarah Taylor,William Lee,FHA,CONSTRUCTION,LA,92952,SunTrust Mortgage,449609.00,303348.64,3.863,1592.10,2011-12-10,2041-12-10,2017-10-18,2017-11-17,CURRENT,0,COMPLETE,FIRST
L007184,B9764,Karen Taylor,,CONVENTIONAL,CASH_OUT_REFINANCE,ME,77078,Flagstar Bank,736304.00,525571.02,5.961,4023.35,2020-06-04,2030-06-04,2021-08-20,2021-09-19,CURRENT,0,INCOMPLETE,SECOND
L001201,B9155,Lisa Moore,Richard Smith,FHA,CASH_OUT_REFINANCE,AZ,48367,Caliber Home Loans,581302.00,467573.77,3.091,1647.07,2018-02-15,2038-02-15,2019-12-10,2020-01-09,CURRENT,0,INCOMPLETE,SECOND
L001716,B3128,Richard Anderson,Joseph Davis,VA,CASH_OUT_REFINANCE,FL,25581,US Bank,631252.00,579113.75,4.498,2602.76,2010-12-21,2025-12-21,2013-07-26,2013-08-25,CURRENT,0,MISSING,SECOND
L001502,B4568,John White,,FHA,CASH_OUT_REFINANCE,NH,83092,JPMorgan Chase Bank,683084.00,0.00,6.293,3940.43,2013-04-06,2033-04-06,2022-01-22,2022-02-21,CLOSED,0,INCOMPLETE,SECOND
L003026,B4755,Charles Thompson,,USDA,HOME_EQUITY,ND,40745,Wells Fargo Home Mortgage,606130.00,500152.50,3.372,1873.55,2016-03-06,2036-03-06,2017-09-29,2017-10-29,CURRENT,0,COMPLETE,FIRST
L000679,B6054,William Davis,,FHA,CASH_OUT_REFINANCE,CA,31402,Caliber Home Loans,240407.00,-110508.78,3.105,684.26,2021-12-18,2031-12-18,2030-10-14,2030-11-13,CURRENT,0,COMPLETE,SECOND
L009151,B1491,James Garcia,,ARM,CONSTRUCTION,MA,98062,JPMorgan Chase Bank,64161.00,41967.49,2.638,155.15,2010-11-13,2040-11-13,2018-06-06,2018-07-06,CURRENT,0,INCOMPLETE,FIRST
L005273,B7596,Richard Miller,,CONVENTIONAL,REFINANCE,MO,47754,JPMorgan Chase Bank,738704.00,489331.38,3.673,2487.15,2013-01-18,2043-01-18,2017-09-28,2017-10-28,CURRENT,0,INCOMPLETE,SECOND
L009098,B7127,Joseph Thompson,,FHA,CONSTRUCTION,NM,65657,PNC Bank,307960.00,168071.70,4.11,1160.24,2014-10-25,2044-10-25,2015-05-14,2015-06-13,CURRENT,0,COMPLETE,FIRST
L008929,B9268,David Taylor,,FIXED,CASH_OUT_REFINANCE,NJ,78553,PNC Bank,399608.00,174019.68,6.815,2496.38,2010-06-03,2030-06-03,2011-07-16,2011-08-15,CURRENT,0,COMPLETE,FIRST
L005953,B8502,Richard Hernandez,,CONVENTIONAL,REFINANCE,OH,82613,Citimortgage,729508.00,0.00,6.048,4044.39,2016-09-02,2031-09-02,2020-05-02,2020-06-01,CLOSED,0,COMPLETE,FIRST
L006139,B8223,Jennifer Jackson,,FHA,REFINANCE,NM,31917,Bank of America,284991.00,197222.18,5.547,1449.11,2011-03-28,2026-03-28,2014-01-23,2014-02-22,DEFAULT,192,COMPLETE,SECOND
L006620,B6143,William Davis,,FIXED,HOME_EQUITY,NE,77100,PNC Bank,565839.00,230035.95,3.316,1719.96,2014-04-23,2034-04-23,2018-02-07,2018-03-09,CURRENT,0,COMPLETE,SECOND
L003895,B2477,Michael Garcia,Mary Smith,VA,REFINANCE,IL,86667,Flagstar Bank,453927.00,410416.04,8.391,3491.49,2016-06-06,2036-06-06,2019-12-27,2020-01-26,CURRENT,0,COMPLETE,SECOND
L008149,B8652,James Hernandez,,VA,CASH_OUT_REFINANCE,CT,55470,SunTrust Mortgage,606225.00,0.00,5.537,3076.95,2018-02-17,2028-02-17,2024-11-03,2024-12-03,PAID_OFF,0,COMPLETE,SECOND
L009878,B7031,John Williams,,FHA,CONSTRUCTION,OK,72031,Green Tree Servicing,413729.00,0.00,5.682,2154.91,2022-05-15,2042-05-15,2031-01-23,2031-02-22,CLOSED,0,COMPLETE,SECOND
L006305,B4061,Patricia Martinez,,USDA,PURCHASE,AR,23206,Freedom Mortgage,261335.00,0.00,6.445,1543.95,2011-07-05,2026-07-05,2018-04-08,2018-05-08,CLOSED,0,COMPLETE,SECOND
L006102,B3567,Jessica Miller,,JUMBO,CONSTRUCTION,SD,28465,Caliber Home Loans,296328.00,0.00,5.571,1513.27,2013-07-29,2033-07-29,2014-06-22,2014-07-22,PAID_OFF,0,COMPLETE,SECOND
L001121,B5237,Lisa Hernandez,,CONVENTIONAL,REFINANCE,MS,80041,Quicken Loans,573138.00,438940.84,4.344,2282.24,2018-09-21,2038-09-21,2024-11-14,2024-12-14,CURRENT,0,COMPLETE,SECOND
L006866,B2380,David Moore,Linda Miller,ARM,CONSTRUCTION,IN,35303,Wells Fargo Home Mortgage,164410.00,124805.10,2.924,440.67,2018-04-22,2048-04-22,2029-02-28,2029-03-30,DELINQUENT,46,COMPLETE,SECOND
L002370,B4394,Joseph Martin,Lisa Garcia,CONVENTIONAL,REFINANCE,MN,24628,Caliber Home Loans,663172.00,363058.21,7.486,4550.80,2012-05-08,2027-05-08,2017-10-25,2017-11-24,CURRENT,0,COMPLETE,FIRST
L003399,B3537,Charles Hernandez,,ARM,CASH_OUT_REFINANCE,MT,97817,Citimortgage,789196.00,0.00,8.216,5943.70,2014-10-17,2024-10-17,2021-07-14,2021-08-13,PAID_OFF,0,COMPLETE,SECOND
L003012,B4417,Jessica Garcia,,CONVENTIONAL,CONSTRUCTION,WA,62973,Freedom Mortgage,353369.00,129451.94,3.559,1152.84,2017-11-14,2027-11-14,2024-01-08,2024-02-07,CURRENT,0,COMPLETE,SECOND
L004762,B8971,Mary Anderson,,ARM,PURCHASE,MA,23491,US Bank,167221.00,51316.43,3.006,460.78,2018-07-01,2048-07-01,2022-02-16,2022-03-18,CURRENT,0,INCOMPLETE,FIRST
L000794,B5353,Susan Johnson,John Wilson,CONVENTIONAL,HOME_EQUITY,FL,80152,US Bank,,47812.19,8.389,795.68,2020-12-24,2030-12-24,2026-05-28,2026-06-27,CURRENT,0,COMPLETE,FIRST
L006019,B6149,Karen White,,USDA,HOME_EQUITY,AL,36955,SunTrust Mortgage,290571.00,114639.20,3.63,966.88,2022-09-29,2037-09-29,2030-12-02,2031-01-01,CURRENT,0,COMPLETE,SECOND
L006606,B2667,Linda Wilson,Karen Brown,FIXED,REFINANCE,IN,90830,JPMorgan Chase Bank,787613.00,639765.63,4.37,3155.05,2019-03-20,2039-03-20,2024-06-22,2024-07-22,DELINQUENT,81,COMPLETE,SECOND
L001296,B3527,Susan Smith,Michael Smith,CONVENTIONAL,CONSTRUCTION,CA,40198,Flagstar Bank,492078.00,350831.13,7.911,3568.43,2019-02-09,2029-02-09,2020-08-28,2020-09-27,CURRENT,0,COMPLETE,FIRST
L000525,B4436,Patricia Jackson,,JUMBO,CONSTRUCTION,MD,63790,PNC Bank,250444.00,341466.90,8.33,1912.35,2022-12-09,2032-12-09,2027-03-04,2027-04-03,PAID_OFF,0,COMPLETE,SECOND
L004324,B5497,William Thomas,,FHA,REFINANCE,MN,34562,SunTrust Mortgage,215301.00,145444.65,4.887,964.49,2016-05-04,2026-05-04,2024-08-18,2024-09-17,CURRENT,0,COMPLETE,FIRST
L003715,B5440,Jennifer Brown,John White,FIXED,CASH_OUT_REFINANCE,DC,28581,Caliber Home Loans,653269.00,549561.35,2.904,1739.00,2016-07-13,2046-07-13,2020-07-16,2020-08-15,CURRENT,0,INCOMPLETE,FIRST
L003660,B2441,Jennifer Martinez,Richard Thomas,ARM,CONSTRUCTION,CA,26795,Green Tree Servicing,258490.00,0.00,6.485,1536.62,2013-05-28,2023-05-28,2015-10-06,2015-11-05,PAID_OFF,0,MISSING,FIRST
L001807,B1227,Sarah Martin,,USDA,HOME_EQUITY,AK,64645,PHH Mortgage,248088.00,161154.56,6.597,1500.25,2020-08-05,2030-08-05,2030-01-02,2030-02-01,DEFAULT,215,COMPLETE,SECOND
L007662,B8151,Linda Taylor,,FIXED,CASH_OUT_REFINANCE,ME,86072,Nationstar Mortgage,661231.00,389292.79,5.676,3440.38,2010-12-26,2025-12-26,2015-10-30,2015-11-29,CURRENT,0,COMPLETE,FIRST
L004747,B7028,Linda Jackson,,USDA,PURCHASE,OK,53954,US Bank,798056.00,531215.05,8.025,5870.70,2020-05-16,2040-05-16,2021-07-17,2021-08-16,DELINQUENT,76,COMPLETE,FIRST
L003378,B2178,Thomas Miller,,VA,CONSTRUCTION,ID,32109,Flagstar Bank,577220.00,189427.66,5.13,2714.38,2012-10-29,2042-10-29,2023-01-17,2023-02-16,CURRENT,0,INCOMPLETE,SECOND
L004476,B1807,James Lee,,VA,CASH_OUT_REFINANCE,LA,26898,Flagstar Bank,456735.00,141192.78,4.943,2069.50,2018-05-11,2033-05-11,2022-04-10,2022-05-10,CURRENT,0,INCOMPLETE,SECOND
L003256,B1772,James Brown,,FIXED,PURCHASE,DC,53831,PNC Bank,267571.00,159598.29,8.468,2076.98,2013-08-11,2023-08-11,2018-07-23,2018-08-22,DEFAULT,328,COMPLETE,SECOND
L001878,B4005,John Smith,,USDA,CONSTRUCTION,PA,22746,Citimortgage,258467.00,88447.54,4.976,1178.95,2015-08-20,2045-08-20,2022-08-26,2022-09-25,CURRENT,0,COMPLETE,SECOND
L002329,B7936,Susan Miller,Susan Wilson,FIXED,REFINANCE,SC,83841,Freedom Mortgage,191738.00,123653.48,5.726,1006.40,2012-09-03,2027-09-03,2018-05-16,2018-06-15,CURRENT,0,COMPLETE,FIRST
L008393,B8689,Sarah Lee,,CONVENTIONAL,HOME_EQUITY,WY,11851,Citimortgage,706136.00,0.00,6.207,4017.74,2012-06-28,2042-06-28,2019-04-21,2019-05-21,PAID_OFF,0,MISSING,SECOND
L007735,B5787,Michael White,,ARM,CASH_OUT_REFINANCE,KS,50430,US Bank,408480.00,334406.64,6.145,2300.93,2013-04-15,2043-04-15,2022-07-19,2022-08-18,CURRENT,0,INCOMPLETE,FIRST
L000064,B5571,Karen Wilson,Charles Lee,JUMBO,CONSTRUCTION,MA,55237,Citimortgage,635196.00,424288.78,4.291,2498.49,2016-09-04,2036-09-04,2024-08-30,2024-09-29,CURRENT,0,,FIRST
L000130,B5240,William Brown,Joseph Johnson,FHA,HOME_EQUITY,CO,66774,Green Tree Servicing,,99759.25,2.631,310.22,2011-06-13,2026-06-13,2021-08-25,2021-09-24,DELINQUENT,83,MISSING,SECOND
